Time,Lat,Lon,Heading,TargetDist,TargetBear,MotorL,MotorR,Fix
1765531416.52,0,0,297.44,0.00,0.00,0.00,0.00,0
1765531416.73,0,0,297.44,0.00,0.00,0.00,0.00,0
1765531416.93,0,0,297.94,0.00,0.00,0.00,0.00,0
1765531417.14,0,0,298.56,0.00,0.00,0.00,0.00,0
1765531417.35,0,0,298.56,0.00,0.00,0.00,0.00,0
1765531417.56,0,0,298.56,0.00,0.00,0.00,0.00,0
1765531417.77,0,0,298.56,0.00,0.00,0.00,0.00,0
1765531417.98,0,0,298.56,0.00,0.00,0.00,0.00,0
1765531418.19,0,0,298.62,0.00,0.00,0.00,0.00,0
1765531418.39,0,0,299.44,0.00,0.00,0.00,0.00,0
1765531418.60,0,0,299.44,0.00,0.00,0.00,0.00,0
1765531418.81,0,0,299.44,0.00,0.00,0.00,0.00,0
1765531419.02,0,0,299.44,0.00,0.00,0.00,0.00,0
1765531419.23,0,0,298.12,0.00,0.00,0.00,0.00,0
1765531419.44,0,0,298.12,0.00,0.00,0.00,0.00,0
1765531419.65,0,0,298.38,0.00,0.00,0.00,0.00,0
1765531419.85,0,0,297.62,0.00,0.00,0.00,0.00,0
1765531420.07,0,0,297.94,0.00,0.00,0.00,0.00,0
1765531420.28,0,0,297.69,0.00,0.00,0.00,0.00,0
1765531420.49,0,0,295.12,0.00,0.00,0.00,0.00,0
1765531420.69,0,0,295.44,0.00,0.00,0.00,0.00,0
1765531420.90,0,0,295.56,0.00,0.00,0.00,0.00,0
1765531421.11,0,0,294.38,0.00,0.00,0.00,0.00,0
1765531421.32,0,0,293.44,0.00,0.00,0.00,0.00,0
1765531421.53,0,0,293.12,0.00,0.00,0.00,0.00,0
1765531421.74,0,0,295.88,0.00,0.00,0.00,0.00,0
1765531421.95,0,0,294.88,0.00,0.00,0.00,0.00,0
1765531422.16,0,0,294.88,0.00,0.00,0.00,0.00,0
1765531422.37,0,0,294.81,0.00,0.00,0.00,0.00,0
1765531422.57,0,0,296.69,0.00,0.00,0.00,0.00,0
1765531422.78,0,0,296.75,0.00,0.00,0.00,0.00,0
1765531422.99,0,0,295.06,0.00,0.00,0.00,0.00,0
1765531423.20,0,0,294.25,0.00,0.00,0.00,0.00,0
1765531423.41,0,0,294.31,0.00,0.00,0.00,0.00,0
1765531423.62,0,0,294.31,0.00,0.00,0.00,0.00,0
1765531423.83,0,0,294.19,0.00,0.00,0.00,0.00,0
1765531424.04,0,0,294.12,0.00,0.00,0.00,0.00,0
1765531424.25,0,0,294.50,0.00,0.00,0.00,0.00,0
1765531424.45,0,0,295.88,0.00,0.00,0.00,0.00,0
1765531424.66,0,0,295.88,0.00,0.00,0.00,0.00,0
1765531424.87,0,0,295.88,0.00,0.00,0.00,0.00,0
1765531425.08,0,0,295.81,0.00,0.00,0.00,0.00,0
1765531425.29,0,0,295.81,0.00,0.00,0.00,0.00,0
1765531425.52,0,0,295.81,0.00,0.00,0.00,0.00,0
1765531425.73,0,0,295.88,0.00,0.00,0.00,0.00,0
1765531425.94,0,0,295.88,0.00,0.00,0.00,0.00,0
1765531426.15,0,0,295.94,0.00,0.00,0.00,0.00,0
1765531426.36,0,0,296.06,0.00,0.00,0.00,0.00,0
1765531426.57,0,0,299.31,0.00,0.00,0.00,0.00,0
1765531426.78,0,0,299.38,0.00,0.00,0.00,0.00,0
1765531426.99,0,0,299.44,0.00,0.00,0.00,0.00,0
1765531427.20,0,0,299.44,0.00,0.00,0.00,0.00,0
1765531427.41,0,0,299.44,0.00,0.00,0.00,0.00,0
1765531427.62,0,0,299.44,0.00,0.00,0.00,0.00,0
1765531427.82,0,0,299.44,0.00,0.00,0.00,0.00,0
1765531428.03,0,0,299.44,0.00,0.00,0.00,0.00,0
1765531428.24,0,0,299.44,0.00,0.00,0.00,0.00,0
1765531428.45,0,0,299.44,0.00,0.00,0.00,0.00,0
1765531428.66,0,0,299.44,0.00,0.00,0.00,0.00,0
1765531428.87,0,0,299.31,0.00,0.00,0.00,0.00,0
1765531429.07,0,0,297.19,0.00,0.00,0.00,0.00,0
1765531429.28,0,0,296.12,0.00,0.00,0.00,0.00,0
1765531429.49,0,0,296.19,0.00,0.00,0.00,0.00,0
1765531429.70,0,0,296.31,0.00,0.00,0.00,0.00,0
